Bank_Website,Bank,Company,Offer,Expire Date,Logo,CleanName
https://www.americanexpress.com/en-us/account/login/,American Express,Pandora Jewelry,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFwEAI,PandoraJewelry
https://www.americanexpress.com/en-us/account/login/,American Express,Warby Parker,"Spend $90 or more, earn $20 back",02/23/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJFdYEAW,WarbyParker
https://www.americanexpress.com/en-us/account/login/,American Express,Stio,"Earn 8% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7od4EAA,Stio
https://www.americanexpress.com/en-us/account/login/,American Express,Tommy John,"Spend $60 or more, earn $15 back",01/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ariEAA,TommyJohn
https://www.americanexpress.com/en-us/account/login/,American Express,Keurig,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ktkEAA,Keurig
https://www.americanexpress.com/en-us/account/login/,American Express,Levi's,"Spend $175 or more, earn $35 back",02/15/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7iqpEAA,Levis
https://www.americanexpress.com/en-us/account/login/,American Express,Newegg,"Earn 2% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzsEAA,Newegg
https://www.americanexpress.com/en-us/account/login/,American Express,Red Lobster,"Spend $50 or more, earn $10 back, up to 2 times (total of $20).",02/13/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7qdZEAQ,RedLobster
https://www.americanexpress.com/en-us/account/login/,American Express,Tomthumb,"Earn 5% back on purchases, up to a total of $20",05/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Wr8EAE,Tomthumb
https://www.americanexpress.com/en-us/account/login/,American Express,Vans,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k2NEAQ,Vans
https://www.americanexpress.com/en-us/account/login/,American Express,Turbotax,"Spend $50 or more, earn $20",04/16/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7rRbEAI,Turbotax
https://www.americanexpress.com/en-us/account/login/,American Express,Iherb,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lEdEAI,Iherb
https://www.americanexpress.com/en-us/account/login/,American Express,Rocket Lawyer,"Spend $239 or more, earn $95",02/28/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7l0MEAQ,RocketLawyer
https://www.americanexpress.com/en-us/account/login/,American Express,Oura,"Spend $250 or more, get $50 back",01/02/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Qm4EAE,Oura
https://www.americanexpress.com/en-us/account/login/,American Express,Natori,"Spend $75 or more, earn $25 back",04/05/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oRJEAY,Natori
https://www.americanexpress.com/en-us/account/login/,American Express,Champion,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lE4EAI,Champion
https://www.americanexpress.com/en-us/account/login/,American Express,Pga National Resort,"Spend $750 or more, earn $150 back",03/02/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJMoPEAW,PgaNationalResort
https://www.americanexpress.com/en-us/account/login/,American Express,Oriental Trading,"Spend $75 or more, earn $15 back",02/15/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cGT7GEAW,OrientalTrading
https://www.americanexpress.com/en-us/account/login/,American Express,Wilson Sporting Goods,"Spend $125 or more, earn $25 back",02/11/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nApEAI,WilsonSportingGoods
https://www.americanexpress.com/en-us/account/login/,American Express,Spokeo,"Spend $15 or more, earn $3 back",05/18/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nsxEAA,Spokeo
https://www.americanexpress.com/en-us/account/login/,American Express,Moma Design Store,"Spend $150 or more, earn $15 back",02/28/2025,https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001YZg60UAD,MomaDesignStore
https://www.americanexpress.com/en-us/account/login/,American Express,Exxon Mobil Rewards,"Spend $25 or more, get $5 back",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001Em0mFEAR,ExxonMobilRewards
https://www.americanexpress.com/en-us/account/login/,American Express,Beyondyoga,"Earn 5% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7obIEAQ,Beyondyoga
https://www.americanexpress.com/en-us/account/login/,American Express,Knix,"Spend $100 or more, earn $20 back, up to 2 times (total of $40).",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ml4EAA,Knix
https://www.americanexpress.com/en-us/account/login/,American Express,Mattressfirm,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oZWEAY,Mattressfirm
https://www.americanexpress.com/en-us/account/login/,American Express,Sharperimage,"Spend $100 or more, earn $20 back",02/26/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oZCEAY,Sharperimage
https://www.americanexpress.com/en-us/account/login/,American Express,Frankandeileen,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzOEAQ,Frankandeileen
https://www.americanexpress.com/en-us/account/login/,American Express,Paragon Sports,"Spend $50 or more, earn $10 back",01/25/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oR4EAI,ParagonSports
https://www.americanexpress.com/en-us/account/login/,American Express,Spencer,"Spend $50 or more, earn $10 back",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7aamEAA,Spencer
https://www.americanexpress.com/en-us/account/login/,American Express,Teleflora,"Spend $15 or more, earn $15 back, up to 10 times (total of $150).",01/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b000017BjIHEA0,Teleflora
https://www.americanexpress.com/en-us/account/login/,American Express,Ariat,"Spend $100 or more, earn $20 back",03/06/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001ZVXtWEAX,Ariat
https://www.americanexpress.com/en-us/account/login/,American Express,Tonal,"Spend $1,000 or more, get $250 back",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001CiM0lEAF,Tonal
